epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
237	0.2	0.11764706	0.2	60.058823	61.1	236999	-2.2787256	0.10997781	18332.7987158	0.05926454
238	0.3	0.0	0.3	55.157894	60.7	237999	-2.3884935	0.12043535	18416.2552629	0.060303006
239	0.2	0.07692308	0.2	71.76923	42.1	238999	-2.5016139	0.12576717	18486.4259949	0.05582876
240	0.0	0.071428575	0.0	71.42857	71.4	239999	-2.6240468	0.120471336	18564.6518409	0.05486559
241	0.0	0.035714287	0.0	37.892857	71.3	240999	-2.7167876	0.11195688	18640.9505138	0.056369968
242	0.0	0.041666668	0.0	41.166668	71.3	241999	-2.756692	0.102616265	18716.889643	0.05476017
243	0.0	0.1	0.0	48.65	61.7	242999	-2.7314866	0.09330285	18789.2832029	0.05289165
244	0.0	0.04347826	0.0	44.173912	61.8	243999	-2.667644	0.08760162	18862.3333979	0.053457953
245	0.1	0.14285715	0.1	69.21429	39.6	244999	-2.5597754	0.081473276	18926.511735	0.052395314
246	0.0	0.0625	0.0	62.5625	80.8	245999	-2.4669507	0.07804457	19002.966588	0.05251504
247	0.1	0.083333336	0.1	83.25	90.1	246999	-2.390526	0.07969057	19078.545377	0.049585525
248	0.0	0.16666667	0.0	81.75	90.5	247999	-2.3146117	0.082935296	19155.5479589	0.050146017
249	0.1	0.15384616	0.1	79.30769	90.1	248999	-2.295479	0.08535298	19230.7512169	0.049554963
250	0.0	0.16666667	0.0	80.75	100.0	249999	-2.299243	0.09272213	19308.9847229	0.049919948
251	0.0	0.0	0.0	99.8	100.0	250999	-2.3379793	0.0971364	19386.1285489	0.0496832
252	0.1	0.09090909	0.1	91.0	90.1	251999	-2.3897998	0.09911678	19460.950191	0.049984902
253	0.0	0.16666667	0.0	83.416664	100.0	252999	-2.4157298	0.09714578	19538.2355669	0.04979349
254	0.2	0.09090909	0.2	90.818184	80.2	253999	-2.4227233	0.09592018	19612.8196878	0.051338807
255	0.0	0.15384616	0.0	81.0	94.6	254999	-2.409282	0.09669876	19693.1751828	0.05186772
256	0.1	0.09090909	0.1	86.09091	83.9	255999	-2.3897245	0.09747329	19772.1485529	0.052054673
257	0.2	0.15384616	0.2	77.53846	72.3	256999	-2.341441	0.09424052	19848.1547499	0.05202224
258	0.0	0.09090909	0.0	90.181816	92.2	257999	-2.2726538	0.09283761	19929.966177	0.052844077
259	0.0	0.07692308	0.0	77.53846	70.9	258999	-2.210329	0.0853224	20006.013113	0.05423636
260	0.1	0.0	0.1	83.25	72.2	259999	-2.1175408	0.08500059	20078.572794	0.051555883
261	0.1	0.15	0.1	51.35	61.3	260999	-2.0513506	0.08141515	20150.9690549	0.05254408
262	0.0	0.0	0.0	88.09091	61.6	261999	-1.979646	0.08085999	20226.686975	0.056158293
