Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
55	0.20869565	0.4063764	1.0	0.0	0.0	0.0	0.0	0.0	132.50435	183.5	824999	15.235387	7.299649	22.404501	-8.027047	15.235377	7.300291	22.608976	-4.703877	-15.488787	0.45708027	81292.316157341
56	0.26363635	0.44060436	1.0	0.0	0.1	0.29999998	1.0	0.0	135.89091	187.5	839999	15.086238	7.3343143	22.241327	-6.9445586	15.086234	7.335067	22.337141	-5.3754873	-15.360051	0.50401735	82707.8376634121
57	0.259542	0.43838334	1.0	0.0	0.4	0.48989797	1.0	0.0	113.43511	90.3	854999	14.896309	7.3555365	21.364243	-8.004248	14.896357	7.3561735	21.31192	-4.3183804	-15.184088	0.5463512	84128.45147275925
58	0.2413793	0.4279198	1.0	0.0	0.4	0.48989797	1.0	0.0	130.46552	163.4	869999	14.631563	7.458686	21.25469	-7.969995	14.6316	7.4595966	21.16561	-3.7689714	-14.917538	0.6031347	85546.17461156845
59	0.26277372	0.44014055	1.0	0.0	0.3	0.45825756	1.0	0.0	109.824814	108.4	884999	14.45861	7.467808	20.56619	-6.4114203	14.458637	7.4687524	20.585112	-3.6291125	-14.748977	0.61988866	86998.49978017807
60	0.30555555	0.46064234	1.0	0.0	0.2	0.4	1.0	0.0	137.77777	103.7	899999	14.372924	7.530364	21.308271	-5.573633	14.372936	7.5315204	21.202541	-3.4773014	-14.669055	0.64755183	88414.45569467545
61	0.2761905	0.4471121	1.0	0.0	0.6	0.48989797	1.0	0.0	143.94286	131.0	914999	14.283631	7.6685076	21.828241	-7.4364824	14.283647	7.6697645	21.817255	-4.1394753	-14.576555	0.67129755	89806.12353754044
62	0.32173914	0.46714348	1.0	0.0	0.3	0.45825756	1.0	0.0	129.2087	149.2	929999	14.1367655	7.6619797	21.05461	-7.802121	14.136756	7.663179	21.329514	-4.7416706	-14.437609	0.67834395	91240.94511294365
63	0.22727273	0.4190702	1.0	0.0	0.2	0.4	1.0	0.0	137.9	163.5	944999	13.986188	7.7277274	21.13105	-6.128392	13.986225	7.7293124	21.086966	-6.2123194	-14.29981	0.71043074	92668.33692216873
64	0.3223684	0.46738318	1.0	0.0	0.4	0.48989797	1.0	0.0	98.23026	108.5	959999	13.945174	7.808975	21.118683	-8.9683	13.945147	7.810646	21.173159	-4.041294	-14.261045	0.7520866	94167.98800206184
65	0.38793105	0.4872787	1.0	0.0	0.3	0.45825756	1.0	0.0	128.7069	154.1	974999	13.859669	7.795133	21.275297	-6.291171	13.85969	7.7970667	21.373878	-4.525799	-14.180521	0.7818528	95590.03057789803
66	0.34306568	0.4747332	1.0	0.0	0.6	0.48989797	1.0	0.0	108.759125	135.8	989999	13.836184	7.7335324	21.26632	-4.646843	13.836202	7.73533	21.290154	-4.22433	-14.166423	0.80018926	97023.11580371857
67	0.35772356	0.47933015	1.0	0.0	0.2	0.4	1.0	0.0	123.203255	143.2	1004999	13.662816	7.747359	21.60624	-4.445076	13.6628065	7.748951	21.234928	-3.572788	-13.995725	0.8001062	98406.84682631493
68	0.37606838	0.4843976	1.0	0.0	0.2	0.4	1.0	0.0	127.0171	133.8	1019999	13.6825075	7.837107	21.78072	-5.380027	13.68248	7.8386827	21.738882	-5.6873336	-14.032411	0.82839715	99793.45622968674
69	0.41717792	0.4930928	1.0	0.0	0.8	0.4	1.0	0.0	93.47853	71.5	1034999	13.774433	7.8302727	21.787437	-4.0889287	13.774451	7.831727	21.65171	-3.5173283	-14.0969095	0.82252383	101232.09558773041
70	0.45925927	0.49833742	1.0	0.0	0.7	0.45825756	1.0	0.0	109.46667	79.1	1049999	13.617477	7.7771873	21.754143	-4.4814487	13.617439	7.7785816	21.720028	-3.4093518	-13.950642	0.8550513	102618.54317831993
71	0.37795275	0.4848757	1.0	0.0	0.4	0.48989797	1.0	0.0	119.23622	127.2	1064999	13.600265	7.7345877	21.668633	-5.583369	13.600267	7.7358003	21.6037	-3.491867	-13.937603	0.86183006	104018.19014716148
72	0.3409091	0.47401485	1.0	0.0	0.4	0.48989797	1.0	0.0	113.007576	112.5	1079999	13.593362	7.677738	21.06877	-4.3560305	13.59334	7.679142	20.854698	-7.441202	-13.932333	0.84837556	105424.12234258652
73	0.2672414	0.44251946	1.0	0.0	0.0	0.0	0.0	0.0	128.57759	223.8	1094999	13.6654625	7.7851715	21.16299	-4.2644734	13.665476	7.7861447	20.706108	-4.1414375	-13.981114	0.8788712	106847.57594490051
74	0.37762237	0.48479247	1.0	0.0	0.6	0.48989797	1.0	0.0	106.61539	112.8	1109999	13.739677	7.759214	21.644615	-5.421271	13.739648	7.760349	20.760714	-4.209957	-14.061533	0.8753379	108278.93195962906
75	0.37007874	0.48282555	1.0	0.0	0.2	0.4	1.0	0.0	118.14173	177.6	1124999	13.689076	7.760316	21.01505	-6.1908817	13.689062	7.761421	20.90871	-3.3342423	-14.025968	0.8962137	109685.4270222187
76	0.32142857	0.4670249	1.0	0.0	0.3	0.45825756	1.0	0.0	133.97322	169.5	1139999	13.73156	7.782103	21.284452	-4.9400373	13.731588	7.783283	21.28822	-3.8568628	-14.063866	0.8507344	111055.35965013504
77	0.2826087	0.45026773	1.0	0.0	0.3	0.45825756	1.0	0.0	161.52174	111.8	1154999	13.740994	7.789393	22.087309	-4.756186	13.740955	7.7902527	21.117237	-4.375677	-14.040367	0.80232704	112378.79434847832
78	0.38842976	0.48739317	1.0	0.0	0.7	0.45825756	1.0	0.0	123.818184	25.6	1169999	13.815981	7.747439	21.185873	-7.973214	13.815968	7.748324	21.067291	-4.830656	-14.101253	0.8064905	113749.83117246628
79	0.41732284	0.49311706	1.0	0.0	0.3	0.45825756	1.0	0.0	117.92126	190.5	1184999	13.838672	7.7360296	21.516096	-5.9621177	13.838663	7.737042	21.24693	-3.869872	-14.117547	0.81905466	115189.16619944572
80	0.31205675	0.46333286	1.0	0.0	0.1	0.29999998	1.0	0.0	106.680855	110.1	1199999	13.663663	7.676055	21.00723	-4.930485	13.663676	7.6772747	21.088371	-5.8835163	-13.947566	0.8408398	116623.7644481659
81	0.37086093	0.4830353	1.0	0.0	0.3	0.45825756	1.0	0.0	98.64239	88.8	1214999	13.644128	7.739136	21.05753	-7.4026055	13.644094	7.7404823	21.073427	-6.478017	-13.924355	0.88165265	118084.52722430229
82	0.28099173	0.44948345	1.0	0.0	0.4	0.489898	1.0	0.0	123.90909	84.0	1229999	13.659523	7.742298	21.260708	-6.170862	13.6595545	7.7434726	21.062252	-6.5817146	-13.949611	0.8991571	119491.47212171555
83	0.34848484	0.47649047	1.0	0.0	0.5	0.5	1.0	0.0	115.52273	90.9	1244999	13.599093	7.749949	20.35714	-6.86111	13.59906	7.7512727	21.04536	-5.015124	-13.88821	0.91497815	120899.95313215256
84	0.41304347	0.49238053	1.0	0.0	0.4	0.48989797	1.0	0.0	108.021736	163.0	1259999	13.595822	7.8059063	21.211285	-4.992528	13.59583	7.806916	21.218933	-4.728574	-13.883713	0.9010177	122362.53382468224
85	0.3442623	0.4751271	1.0	0.0	0.3	0.45825756	1.0	0.0	122.84426	176.7	1274999	13.716695	7.821952	21.392033	-5.846605	13.716689	7.8230543	21.247528	-4.534455	-14.003678	0.87746495	123790.75392985344
86	0.2857143	0.4517539	1.0	0.0	0.4	0.48989797	1.0	0.0	142.53334	109.8	1289999	13.806756	7.8150654	21.511902	-4.2816386	13.806789	7.81599	21.239328	-4.253337	-14.091634	0.8319285	125136.41663908958
87	0.31428573	0.46423078	1.0	0.0	0.5	0.5	1.0	0.0	141.55238	91.7	1304999	13.944762	7.9067917	21.41796	-4.9075236	13.944799	7.9077134	21.23477	-3.3982415	-14.20857	0.80207527	126496.69971346855
88	0.2020202	0.4015072	1.0	0.0	0.4	0.48989797	1.0	0.0	153.38383	87.7	1319999	13.8391485	7.908725	21.760014	-4.277092	13.839108	7.9096894	21.786095	-4.0714355	-14.103598	0.80910367	127854.3243367672
89	0.38016528	0.48542723	1.0	0.0	0.3	0.45825756	1.0	0.0	124.76859	92.6	1334999	13.887584	7.843044	21.563503	-4.6572533	13.887608	7.8440557	21.554272	-4.060768	-14.15195	0.77186537	129262.1498799324
90	0.39583334	0.4890289	1.0	0.0	0.2	0.4	1.0	0.0	104.13194	112.7	1349999	14.0064945	7.8176126	21.713524	-3.6783848	14.006503	7.8185625	21.613386	-3.7696712	-14.252766	0.74992853	130749.02708363533
91	0.37593985	0.4843646	1.0	0.0	0.4	0.489898	1.0	0.0	111.09775	107.9	1364999	13.915038	7.8241315	21.714697	-4.1172905	13.915043	7.8256726	21.60485	-3.8718486	-14.167756	0.76902705	132180.23709726334
92	0.32307693	0.46765184	1.0	0.0	0.3	0.45825756	1.0	0.0	117.1	167.6	1379999	13.938404	7.872427	20.861383	-4.3571105	13.938408	7.8733606	21.124084	-4.0921526	-14.183445	0.7866664	133672.5871837139
93	0.44785276	0.49727327	1.0	0.0	0.1	0.29999998	1.0	0.0	91.993866	142.3	1394999	13.849991	7.88405	20.893925	-4.570132	13.8499775	7.8850327	20.86771	-4.623108	-14.09737	0.8038422	135207.13057041168
94	0.37301588	0.48360628	1.0	0.0	0.4	0.489898	1.0	0.0	117.666664	171.5	1409999	13.893355	7.9166517	20.877878	-5.0018573	13.8933525	7.9176555	20.83959	-3.8570285	-14.146225	0.8001671	136650.2235300541
95	0.32478634	0.46829495	1.0	0.0	0.6	0.48989797	1.0	0.0	129.34187	104.4	1424999	13.879256	7.9506674	21.400515	-5.5549583	13.879247	7.95164	21.373934	-4.440829	-14.143288	0.81475276	138053.47779726982
96	0.39855072	0.48959988	1.0	0.0	0.1	0.29999998	1.0	0.0	109.021736	171.4	1439999	13.824603	8.003242	21.455263	-4.8047132	13.824641	8.004013	21.24696	-3.5421538	-14.0757675	0.8305159	139525.04361653328
97	0.3888889	0.487498	1.0	0.0	0.3	0.45825756	1.0	0.0	118.80159	146.4	1454999	13.908253	8.0287285	21.199913	-5.7808504	13.908239	8.029518	21.107082	-4.2833605	-14.159261	0.82267714	140943.2872376442
98	0.3114754	0.46309662	1.0	0.0	0.3	0.45825756	1.0	0.0	122.63934	147.9	1469999	13.843527	7.9991727	21.013632	-6.271139	13.8434925	8.000419	21.047832	-3.2133358	-14.117986	0.8042768	142345.81925058365
99	0.33333334	0.4714045	1.0	0.0	0.1	0.29999998	1.0	0.0	110.42963	189.8	1484999	13.794968	7.958552	20.85644	-4.0913076	13.794979	7.9593325	20.88283	-3.9817538	-14.092905	0.79974765	143795.9687128067
100	0.40151516	0.4902048	1.0	0.0	0.4	0.489898	1.0	0.0	114.63636	161.4	1499999	13.805441	7.8976727	20.829304	-6.2891717	13.805406	7.8988047	21.22225	-3.9385304	-14.097618	0.80854267	145222.96680784225
101	0.41129032	0.49206766	1.0	0.0	0.6	0.48989797	1.0	0.0	120.59677	80.6	1514999	13.76785	7.8610272	20.461376	-4.2033243	13.76787	7.8617215	20.802309	-3.4519184	-14.047458	0.78295857	146604.84868383408
102	0.44642857	0.4971218	1.0	0.0	0.2	0.4	1.0	0.0	132.48215	140.6	1529999	13.915121	7.8937807	20.86292	-3.6527643	13.915123	7.894529	20.905308	-3.5920575	-14.179886	0.7898393	147975.0081732273
103	0.26804122	0.44293916	1.0	0.0	0.2	0.4	1.0	0.0	156.51546	128.8	1544999	13.960251	7.917934	21.036499	-5.049169	13.960256	7.918514	20.986774	-4.172018	-14.214734	0.774901	149324.66912841797
104	0.4122807	0.49224517	1.0	0.0	0.2	0.4	1.0	0.0	131.26315	200.9	1559999	13.764137	7.874223	20.939644	-3.908154	13.764121	7.8754044	20.850523	-3.8773956	-14.028254	0.79409283	150713.98138237
105	0.3644068	0.48126334	1.0	0.0	0.4	0.48989797	1.0	0.0	127.62712	149.7	1574999	13.585617	7.9020033	20.463068	-4.5726223	13.585599	7.9038424	20.925013	-3.3774629	-13.8660965	0.8275232	152105.43282938004
106	0.456	0.49806026	1.0	0.0	0.4	0.489898	1.0	0.0	118.968	135.0	1589999	13.648734	7.951927	20.538593	-4.2597675	13.648713	7.9531145	21.238108	-4.551628	-13.917621	0.81048644	153521.71495199203
107	0.44262296	0.49669695	1.0	0.0	0.4	0.48989797	1.0	0.0	124.0	115.2	1604999	13.709879	7.9067163	20.55855	-4.7212524	13.70986	7.9076962	20.622623	-5.4713717	-13.967709	0.8000256	154920.7822048664
108	0.36134455	0.4803901	1.0	0.0	0.1	0.29999998	1.0	0.0	124.16807	137.2	1619999	13.473186	7.881216	20.757046	-5.0028944	13.473189	7.882188	20.568789	-6.264241	-13.768669	0.806184	156326.60680294037
109	0.35185185	0.4775481	1.0	0.0	0.2	0.4	1.0	0.0	139.78703	92.0	1634999	13.549946	7.921672	20.875082	-4.962537	13.549928	7.922753	20.95168	-5.9823895	-13.841398	0.7898638	157687.8965215683
110	0.2990654	0.45784852	1.0	0.0	0.3	0.45825756	1.0	0.0	140.00934	134.5	1649999	13.596242	7.923493	20.42463	-4.3928523	13.5962515	7.924156	20.508915	-4.1558676	-13.889515	0.772195	159043.30420589447
111	0.3140496	0.46413618	1.0	0.0	0.6	0.48989797	1.0	0.0	124.23967	82.0	1664999	13.611498	7.8866262	20.946556	-4.4327273	13.611486	7.887922	20.446453	-3.7352924	-13.903485	0.74572694	160430.3935046196
112	0.3539823	0.47820374	1.0	0.0	0.3	0.45825756	1.0	0.0	131.69026	152.2	1679999	13.725647	7.8866124	20.758762	-3.9102554	13.725628	7.887856	20.343168	-3.1225824	-13.992741	0.73421067	161857.02915382385
113	0.33653846	0.47252548	1.0	0.0	0.3	0.45825756	1.0	0.0	145.46153	79.4	1694999	13.937565	7.9167027	20.725311	-4.4325895	13.937554	7.9179497	20.518751	-3.3201067	-14.167778	0.68193656	163196.94075608253
