Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
54	0.92921686	0.25646225	1.0	0.0	1.0	0.0	1.0	1.0	22.555723	13.7	809999	20.504292	7.227948	35.187298	-21.192406	20.504232	7.224956	34.058884	-24.312807	-1.6699672	1.4563273	7.5934296	-13.453681	-20.615555	10.957763	8083.419059753418
55	0.92705166	0.26005167	1.0	0.0	1.0	0.0	1.0	1.0	22.825228	16.3	824999	20.552366	7.2420106	33.87637	-19.39398	20.55219	7.2393804	34.653908	-27.417782	-1.6753764	1.450319	11.813057	-13.042277	-20.659155	11.013944	8232.617068052292
56	0.9223744	0.26758146	1.0	0.0	0.9	0.29999998	1.0	0.0	22.846272	18.6	839999	20.459612	7.221584	34.993744	-24.166065	20.459438	7.2191195	34.515995	-25.329325	-1.6985154	1.4451619	11.008681	-14.266288	-20.5661	10.793489	8381.921881914139
57	0.94532377	0.22734722	1.0	0.0	1.0	0.0	1.0	1.0	21.589928	15.5	854999	20.750536	7.3772345	36.05738	-24.408253	20.750423	7.374513	34.85907	-25.694773	-1.6319274	1.4603057	10.477617	-14.399139	-20.867754	11.126537	8531.114248037338
58	0.93362194	0.2489418	1.0	0.0	1.0	0.0	1.0	1.0	21.617605	12.8	869999	20.884771	7.447969	36.49432	-22.603012	20.88461	7.4453077	35.366043	-23.93754	-1.6068143	1.4698713	10.813886	-15.171028	-20.998526	11.435948	8680.407469272614
59	0.9381443	0.24089323	1.0	0.0	0.9	0.29999998	1.0	0.0	22.10604	17.2	884999	20.717287	7.3716993	35.34066	-27.0727	20.717262	7.3681493	36.43466	-24.927467	-1.6534799	1.464395	12.68562	-13.525137	-20.827627	11.109569	8829.876975536346
60	0.9171779	0.2756131	1.0	0.0	1.0	0.0	1.0	1.0	23.006134	14.1	899999	20.532854	7.2601137	35.055943	-23.054934	20.53275	7.2572827	36.752323	-28.609554	-1.6920849	1.4570459	11.655871	-12.48871	-20.639887	10.834343	8979.021123170853
61	0.94631904	0.22538707	1.0	0.0	1.0	0.0	1.0	1.0	23.018404	13.8	914999	20.469969	7.27701	34.566128	-24.53608	20.469841	7.2752495	35.751076	-26.115877	-1.7039374	1.4506884	9.871952	-13.262751	-20.577204	10.903046	9128.188351869583
62	0.94071764	0.23615244	1.0	0.0	0.9	0.29999998	1.0	0.0	23.390015	22.3	929999	20.456219	7.2962937	34.602177	-28.736689	20.456146	7.2944636	35.19129	-29.550846	-1.7227316	1.438156	11.729545	-14.395267	-20.564983	10.848464	9277.706443548203
63	0.9347496	0.24696714	1.0	0.0	0.9	0.29999998	1.0	0.0	22.769348	17.9	944999	20.338303	7.2363815	34.489777	-23.758535	20.33827	7.2339463	34.26508	-17.758091	-1.7381608	1.435658	10.805957	-12.8455105	-20.443462	10.791241	9426.951433181763
64	0.91679746	0.2761881	1.0	0.0	0.9	0.29999998	1.0	0.0	23.503925	15.6	959999	20.28183	7.2312365	37.436325	-21.477236	20.281607	7.229669	34.377865	-19.459082	-1.7262099	1.442587	9.333099	-14.02034	-20.388525	10.632311	9576.003526687622
65	0.90015846	0.2997886	1.0	0.0	0.9	0.29999998	1.0	0.0	23.7813	17.3	974999	20.302805	7.2760563	36.024128	-23.068096	20.302784	7.274244	34.083244	-24.965528	-1.7369636	1.433524	10.010841	-15.159427	-20.411608	10.7036915	9725.08205986023
66	0.90979785	0.2864712	1.0	0.0	1.0	0.0	1.0	1.0	23.36703	16.4	989999	20.346363	7.291405	35.995552	-21.46938	20.346144	7.28952	36.520794	-16.593204	-1.7494252	1.42353	7.8213005	-14.059139	-20.456097	10.676553	9874.348212003708
67	0.91577333	0.27772743	1.0	0.0	0.9	0.29999998	1.0	0.0	22.93415	17.5	1004999	20.31797	7.312846	33.80362	-19.43318	20.317776	7.311131	36.19976	-19.842594	-1.7433342	1.4348162	9.829302	-14.675971	-20.429514	10.608119	10024.505368232727
68	0.8971061	0.30382025	1.0	0.0	0.8	0.4	1.0	0.0	24.123795	21.5	1019999	20.334337	7.341296	34.63916	-16.255898	20.334312	7.3387	34.400784	-20.702053	-1.7495837	1.43263	8.531948	-14.075102	-20.447443	10.649388	10174.827484607697
69	0.9110429	0.28468174	1.0	0.0	1.0	0.0	1.0	1.0	23.039877	12.6	1034999	20.326769	7.3549356	34.597683	-16.659325	20.326527	7.3536134	33.77502	-19.438326	-1.7512238	1.4323921	8.415074	-14.018264	-20.442024	10.630033	10325.107280731201
70	0.9275809	0.2591806	1.0	0.0	0.9	0.29999998	1.0	0.0	23.070879	15.9	1049999	20.342222	7.375921	36.219498	-12.747061	20.342165	7.374684	36.751278	-28.3373	-1.7401662	1.4379166	10.4362545	-13.583447	-20.458897	10.562979	10475.105341911316
71	0.92053974	0.27045578	1.0	0.0	1.0	0.0	1.0	1.0	22.503748	25.4	1064999	20.384214	7.404749	36.014717	-15.499298	20.384108	7.4034786	33.788708	-24.273678	-1.7508386	1.4304233	9.20634	-13.561804	-20.501379	10.642745	10624.645510196686
72	0.9240122	0.26497865	1.0	0.0	1.0	0.0	1.0	1.0	22.82067	13.5	1079999	20.364191	7.4330325	35.734077	-12.541114	20.364248	7.4312506	33.590157	-15.339539	-1.7463088	1.4314692	7.8913813	-15.968798	-20.482649	10.643525	10773.868250370026
73	0.90697676	0.29046503	1.0	0.0	0.8	0.4	1.0	0.0	23.232557	20.6	1094999	20.357256	7.471685	35.81912	-23.697273	20.357367	7.4700847	34.30587	-23.125965	-1.746353	1.4293506	9.86179	-14.2634535	-20.47925	10.478623	10923.130515575409
74	0.91463417	0.27942535	1.0	0.0	0.9	0.29999998	1.0	0.0	22.853659	15.3	1109999	20.452229	7.504254	37.172882	-20.43057	20.452402	7.5022783	36.865387	-27.799004	-1.7465829	1.4315994	8.084553	-13.205814	-20.573929	10.6131	11072.59978723526
75	0.9186747	0.27333403	1.0	0.0	0.9	0.29999998	1.0	0.0	22.555723	18.0	1124999	20.444887	7.4891315	36.20504	-19.058804	20.444906	7.4871297	35.034172	-25.516005	-1.7399155	1.4378747	9.664107	-14.139141	-20.57178	10.444637	11221.797063827515
76	0.9056	0.29238442	1.0	0.0	0.8	0.4	1.0	0.0	24.0512	19.5	1139999	20.54714	7.5101304	36.30914	-15.659845	20.547148	7.508737	33.760956	-25.920761	-1.7306567	1.4367898	7.993434	-13.264043	-20.678116	10.401416	11371.191307544708
77	0.9235474	0.2657209	1.0	0.0	1.0	0.0	1.0	1.0	22.949541	14.7	1154999	20.564203	7.6082597	35.850285	-16.09955	20.564312	7.6068087	34.97203	-21.36373	-1.7419462	1.4312962	9.992165	-14.145205	-20.695402	10.606595	11520.508889436722
78	0.91419655	0.28007358	1.0	0.0	0.8	0.4	1.0	0.0	23.383776	21.4	1169999	20.638344	7.6211886	38.374115	-16.54991	20.63839	7.620024	34.33437	-20.539276	-1.7345877	1.4356023	8.00187	-14.777779	-20.771194	10.584592	11670.428154706955
79	0.91402715	0.28032395	1.0	0.0	1.0	0.0	1.0	1.0	22.64555	22.2	1184999	20.710426	7.6480827	37.933735	-17.799719	20.710567	7.646389	36.888454	-22.721941	-1.7292316	1.443552	9.522423	-11.906046	-20.847597	10.671286	11820.76483631134
80	0.9133858	0.28126884	1.0	0.0	1.0	0.0	1.0	1.0	23.625196	13.3	1199999	20.822031	7.680396	40.510014	-17.124624	20.82206	7.678792	35.248295	-21.637934	-1.7117485	1.4468725	12.34021	-13.998823	-20.962667	10.758655	11970.89049744606
81	0.91459626	0.27948153	1.0	0.0	1.0	0.0	1.0	1.0	23.282608	16.7	1214999	20.778559	7.6775856	36.801723	-59.998608	20.778563	7.677038	35.625763	-32.723785	-1.7168845	1.4465594	14.9695015	-14.307013	-20.915583	10.842598	12120.833894491196
82	0.90923566	0.28727365	1.0	0.0	1.0	0.0	1.0	1.0	23.890127	15.0	1229999	20.757391	7.7212834	34.914333	-59.271694	20.757313	7.721236	34.3813	-37.815372	-1.6992679	1.4541658	11.033614	-13.597681	-20.8955	10.823691	12270.25322508812
83	0.9243827	0.2643848	1.0	0.0	1.0	0.0	1.0	1.0	23.131172	16.2	1244999	20.871065	7.7266226	36.888172	-58.352665	20.870953	7.7263017	36.08293	-31.35872	-1.6968454	1.4509103	15.758926	-15.388024	-21.015688	10.965425	12419.306971788406
84	0.9209302	0.26984763	1.0	0.0	0.9	0.29999998	1.0	0.0	23.266666	15.1	1259999	21.090357	7.889639	36.56094	-58.910805	21.090368	7.888873	37.53932	-36.96484	-1.6379228	1.4762063	14.697465	-12.597186	-21.241165	11.253669	12568.352422237396
85	0.91871166	0.2732774	1.0	0.0	1.0	0.0	1.0	1.0	22.9954	13.4	1274999	21.109373	7.8951473	35.7128	-54.36968	21.109236	7.8955708	36.465424	-40.559753	-1.6478101	1.4734187	13.220675	-12.542978	-21.253325	11.300122	12717.426732301712
86	0.91344666	0.2811794	1.0	0.0	1.0	0.0	1.0	1.0	23.173107	14.4	1289999	21.111258	7.930826	35.776447	-56.50242	21.111185	7.931535	36.570847	-36.51495	-1.6535397	1.4687573	14.023585	-12.080709	-21.25723	11.412229	12866.483079910278
87	0.9165379	0.27657947	1.0	0.0	0.9	0.29999998	1.0	0.0	23.16847	19.6	1304999	21.006166	7.849278	38.264366	-53.30047	21.006126	7.849683	39.923786	-40.399437	-1.6779747	1.4590276	15.517077	-15.527542	-21.149158	11.198431	13015.63961482048
