epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
115	0.3	-0.3733333	-0.565	47.61905	17.5	114999	-0.15085629	0.013669108	8234.54179001	0.047119506
116	0.5	-0.5786364	-0.45899996	45.090908	46.9	115999	-0.12173755	0.014619154	8296.245502	0.047983237
117	0.3	-0.255	-0.584	33.5	49.1	116999	-0.12870754	0.01563983	8360.55455208	0.049982537
118	0.6	-0.19615386	0.014999986	39.653847	49.2	117999	-0.12467073	0.013751396	8422.04453111	0.04778707
119	0.5	-0.5237037	-0.22200003	38.37037	52.9	118999	-0.10305558	0.014814101	8487.64087009	0.048567574
120	0.4	-0.39533332	-0.27199998	33.666668	8.2	119999	-0.08688047	0.014198137	8539.60393214	0.0490405
121	0.6	-0.2626829	0.018999994	22.317074	58.7	120999	-0.08173732	0.015278066	8607.29233003	0.05007534
122	0.1	-0.28818178	-0.81899995	47.727272	52.4	121999	-0.061625626	0.014143656	8674.18545413	0.048672777
123	0.4	-0.36423075	-0.454	13.025641	26.4	122999	-0.06902977	0.021764442	8733.652637	0.05212611
124	0.6	-0.14925927	0.073999986	34.296295	43.3	123999	-0.08479878	0.01650072	8792.15684795	0.046333984
125	0.3	-0.10999999	-0.56000006	53.842106	46.7	124999	-0.094181895	0.015632106	8854.89939809	0.049148116
126	0.6	-0.044482745	-0.17299995	36.275864	38.3	125999	-0.13701347	0.017216595	8921.23692894	0.05347611
127	0.5	0.03733336	-0.34199998	33.833332	45.1	126999	-0.16966306	0.016720422	8986.08727503	0.0501232
128	0.5	-0.427931	-0.273	33.37931	58.0	127999	-0.16486731	0.01871831	9053.46192408	0.0497798
129	0.6	0.042105272	0.012	25.605263	49.5	128999	-0.17038484	0.018218454	9115.64654398	0.048288994
130	0.5	-0.25125	-0.07499999	42.458332	48.1	129999	-0.16003583	0.017766764	9176.40706611	0.047551196
